iter	Logloss
0	0.6792003274
1	0.6622844079
2	0.6486066159
3	0.6349968561
4	0.6216550665
5	0.6099414383
6	0.5982158212
7	0.5874234917
8	0.5781857092
9	0.5704305907
10	0.5612847933
11	0.5532730338
12	0.5460044806
13	0.5382140366
14	0.5313980013
15	0.5277133308
16	0.5228301015
17	0.5167311957
18	0.5120098851
19	0.5072464274
20	0.5029297082
21	0.4985442715
22	0.4938460965
23	0.4893230293
24	0.485560718
25	0.4834200685
26	0.4805221879
27	0.4789115165
28	0.4755788878
29	0.473200287
30	0.470060751
31	0.4662573485
32	0.4643696483
33	0.4623460085
34	0.4609164386
35	0.4593230261
36	0.4565656558
37	0.4541693392
38	0.4513279602
39	0.4500891365
40	0.4480610635
41	0.4470448871
42	0.4456413425
43	0.4439355281
44	0.4425961377
45	0.4411851306
46	0.4403939812
47	0.4389133623
48	0.4374852027
49	0.4356409087
50	0.4345102978
51	0.4333882042
52	0.4319382456
53	0.4311195064
54	0.4302917709
55	0.4289198716
56	0.4278160515
57	0.4270803498
58	0.4263829574
59	0.425917519
60	0.4258787905
61	0.4256494053
62	0.4254059093
63	0.4244925076
64	0.4232232389
65	0.4226281251
66	0.4220623241
67	0.4216267298
68	0.4214779241
69	0.4206854584
70	0.4203670387
71	0.4201450692
72	0.4193216529
73	0.4186146326
74	0.4185993859
75	0.4175679843
76	0.4171154777
77	0.4171033619
78	0.4166573868
79	0.4162616316
80	0.4155869108
81	0.4149608623
82	0.4145397235
83	0.4142711535
84	0.4139072811
85	0.4134621003
86	0.4129015114
87	0.4122495139
88	0.4118926613
89	0.4114455875
90	0.4112597519
91	0.4107122221
92	0.4107063734
93	0.4103219066
94	0.410048711
95	0.4099120282
96	0.4097830916
97	0.4096908063
98	0.4096868465
99	0.4091843051
100	0.4089051337
101	0.408799298
102	0.4085522389
103	0.4085494568
104	0.4080880235
105	0.4080857072
106	0.4075803869
107	0.4075782113
108	0.4075671412
109	0.4074410732
110	0.4068332727
111	0.4063570624
112	0.4062924739
113	0.4061846067
114	0.406127545
115	0.4061264792
116	0.4061254764
117	0.4061245329
118	0.4061236452
119	0.4057401017
120	0.4057392916
121	0.4054490163
122	0.4050626205
123	0.4050619788
124	0.4047416014
125	0.4047410406
126	0.4044886685
127	0.4043938418
128	0.4043933926
129	0.4041186605
130	0.4041182677
131	0.4039503424
132	0.4033451256
133	0.4033448045
134	0.4031264249
135	0.4031261345
136	0.4031258612
137	0.4029572744
138	0.4027837652
139	0.4023348222
140	0.4020873148
141	0.4019561738
142	0.4019090941
143	0.4018492699
144	0.4014206829
145	0.4011832258
146	0.401025614
147	0.4007377968
148	0.4005362139
149	0.4005361338
150	0.4003874444
151	0.4003873784
152	0.3999941418
153	0.3997070593
154	0.399690608
155	0.3995782199
156	0.3995220883
157	0.3995220558
158	0.3995220252
159	0.3994871919
160	0.3991767001
161	0.3989746204
162	0.398739219
163	0.3987391981
